Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в  чеке;Ценность клиента
Дрожжино (Ленинский район);6870;1532;0.22299854439592431;2;10;2;3480;5;766
Горки Ленинские (Домодедовский район);2836;-392;-0.1382228490832158;2;3;1;1467;2;-392
Татищево (Волоколамский район);2259;49;0.021691013722886232;1;1;1;2308;1;49
Зеленоградский (Пушкинский район);8411;1881;0.22363571513494235;1;7;1;8460;7;1881
Митино (Волоколамский район);991;396;0.39959636730575177;1;4;1;1040;4;396
Магнитогорск;71802;10352;0.1441742569844851;16;57;16;4604;4;647
Троицкое (Чеховский район);9006;831;0.09227181878747502;1;11;1;9055;11;831
Первомайское (Наро-Фоминский район);5904;555;0.09400406504065041;2;6;1;3001;3;555
Сколково (Одинцовский район);2418;276;0.1141439205955335;1;4;1;2467;4;276
Балобаново (Ногинский район);8830;1329;0.1505096262740657;1;31;1;7653;31;1329
Покровское (Истринский район);3852;123;0.031931464174454825;1;7;1;3901;7;123
Сабурово (Красногорский район);2175;324;0.1489655172413793;1;5;1;2224;5;324
Львовский (Подольский район);2999;600;0.20006668889629878;1;1;1;3048;1;600
Авсюнино (Дороховское с/п) (Орехово-Зуевский район);1533;257;0.16764514024787996;1;7;1;1632;7;257
Правдинский (Пушкинский район);3302;463;0.14021804966686857;1;8;1;3351;8;463
Николо-Урюпино (Красногорский район);2691;336;0.12486064659977704;1;6;1;2740;6;336
Бородки (Одинцовский район);7088;1949;0.27497178329571104;1;14;1;5306;14;1949
Заря (Балашихинский район);2871;644;0.2243120863810519;1;3;1;2920;3;644
Обухово (Ногинский район);4468;699;0.1564458370635631;2;3;2;2394;2;350
Есино (Ногинский район);646;55;0.08513931888544891;1;3;1;695;3;55
Заветы Ильича (Пушкинский район);676;138;0.20414201183431951;1;3;1;725;3;138
Щербинка;2448;221;0.09027777777777778;1;6;1;2448;6;221
