Регион;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
Улан-Удэ;948583;202461;0.21343519755255996;272;889;209;3831;3;969
Электросталь;244287;73051;0.2990376074044055;23;25;23;11604;1;3176
Видное (Ленинский район);948732;192533;0.20293718352495752;256;1413;195;4270;6;987
Химки;224746;35054;0.15597163019586555;51;524;38;4628;10;922
Лобня (Московская область район);258826;52761;0.20384737236599104;83;483;65;3698;6;812
Симферополь;270144;47040;0.17412935323383086;61;403;55;5691;7;855
Звенигород (Московская область район);119574;18242;0.1525582484486594;33;130;25;4090;4;730
Электроугли (Ногинский район);57946;9838;0.16977875953473923;22;81;17;2884;4;579
Химки (Московская область район);1990517;336130;0.16886567660562557;524;2810;405;4341;5;830
Владимир;1310532;303946;0.23192566072404183;401;1137;312;3597;3;974
Балашиха (Балашихинский район);2694780;470478;0.1745886491661657;917;4064;682;3450;4;690
Михнево (Домодедовский район);13160;3340;0.25379939209726443;6;41;3;2567;7;1113
Набережные Челны;1534861;276716;0.1802873354655568;490;1546;361;3698;3;767
Старый Оскол;1093532;227703;0.2082271026362283;346;1034;267;3536;3;853
Домодедово (Домодедовский район);342939;74852;0.2182662222727657;92;448;80;4200;5;936
Липецк;2229937;475343;0.2131643180950852;742;2016;566;3387;3;840
Реутов;96825;14385;0.14856700232378;16;50;8;6167;3;1798
Жуковский;847268;255978;0.30212164273877923;70;96;66;13686;1;3878
Красногорск;261992;78648;0.3001923722861767;37;37;37;9016;1;2126
Рошаль (Московская область район);17540;2531;0.1442987457240593;6;42;4;3223;7;633
Воскресенск (Воскресенский район);57362;9822;0.17122833931871273;28;79;24;2349;3;409
Переславль-Залесский;9321;82;0.008797339341272395;10;48;1;1574;5;82
Старый;880291;247888;0.28159778982177486;87;108;84;10685;1;2951
Ногинск;238067;79302;0.3331079065977225;29;30;24;8209;1;3304
Батайск;3300;527;0.1596969696969697;2;2;2;2375;1;264
Клин;99888;25925;0.259540685567836;10;11;8;11414;1;3241
Коломна;166120;49215;0.2962617385022875;18;21;17;9826;1;2895
Орехово-Зуево;489596;158369;0.32346873748968535;48;56;47;12041;1;3370
Пушкин;13107;1685;0.12855725947966734;4;12;4;3827;3;421
Волжский;1391114;303838;0.21841344418933314;431;1610;285;3585;4;1066
Томилино (Люберецкий район);83095;14813;0.17826584030326734;31;161;21;3305;5;705
Одинцово-1 (Одинцовский район);119370;19390;0.16243612297897295;8;32;2;15227;4;9695
Ивантеевка (Московская область район);90143;19691;0.2184418091255006;30;69;28;4130;2;703
Волоколамск (Волоколамский район);14021;3086;0.2200984237928821;4;19;3;4355;5;1029
Тольятти;1434497;219018;0.15267930152520362;527;1493;406;2999;3;539
Щербинка (Московская область район);362889;61878;0.1705149508527401;143;634;120;2917;4;516
Набережные;120911;33008;0.27299418580608875;16;16;13;10842;1;2539
