Кластер 1;Кластер 2;Кластер 3;Кластер 4
173;508.5;457;680
153;966;873;900
54;46;19;384
239;141;295;307
414;197;176;1478
138;113.5;293;594
138;1255.5;373;1900
-363;1174;110;661
22;370.8571429;-59.75;1906
141;127;791.5;67
-1208;382;37;938
139;367.5;72;130
384;279;262;901
1994.5;304;549;2948
13;457;190;631
-1240;3000;2647;331
100;5523;29;3301
142;223;-634;371
100;554;1362;1486
50;203;128.5;5675
-604;2823;211;400
60.5;-74.5;330;1867
260;517;81.5;125
429;100;93;432
123;889;390;13671
303;124;265;516
395.6666667;992;333;234
72;709;122;5317
396;551;129;58
-80;98;444;500
497;416;219;1620
-60;478;240;43957
-280;202.5;82;-57
132;933;902;400
14;150;822;340
48;356;19;2408
86;187;44;466
353;90;271;455
88;2494;86;2765
613.5;561;571;346
104.5;337;60;1591
484;509.25;129;162
10;145;721;3679
116;1507;284;2526
4;270;214;43953
204;762;163;2124
756;1281;173;1927
397.5;402;2010;852
432;198;239;809.5
200;686;20;88
87.5;347;-347;1589
131.7142857;299;186;1390
132.4;437;55;3311
132;372;900;534
209;152.75;116;947
137;356.5;-38;8928
2;79;200;16182
131;157;311;1385
246;103.3333333;131;4185
106.1111111;624.5;528;149
141;744;363;110
-408;1380;182;2726
467.5;1406;587;584
34;727;-231;427
251;115;140;1941
140;512;40;500
272;2300;-63;1287
-634;238;63;4511
436;736;1211;2298
-170;333;133;12924
156;398;752;5063
358;546;183;5645
133;109.4545455;337;11363
140;455;820;3330
-691;347;4194;755
96;1492;245;2317
-464;549;329;5530
175;44;52;2375.5
186;273;609;13697
-54;305;-293;460
240;113;170;1260
18;580;397;1500
138;359;-39;1370
348.5;107;238.5;7047
-7;311.5;351;5072
-103;282;8;320
863;925;244;2028
240;452;-183;5977
299;384;75;670
692;447;576;450
1384;292.3333333;75;621
4;710;132.6666667;437.5
67;243;547;2748
31;433.3333333;53;11901
188;895;168;224
324;269;536.5;4046.125
549.6666667;419.5;309;696
51;1364;2649;831
423;429;247;1822
87;154;598;371
164;61.66666667;135;1109
317.5;866;1853;1036
-1186;63.66666667;285;1274
207;2076;985;2219
31;39;111;730
416;142;236;4000
286.3333333;692;266;1822
356;491;359;2471.25
621;379;127;5518
1806.666667;276;843;43969
132.5;125;104;2766
188;560;52;1388
125;61;1233;1059
135.3333333;200;-266;98
341.6666667;154;114;609
13;180.5;399;371
374.5;734.5;65;1705
-604;109;390.5;9777
