Группа3;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
БЫТОВАЯ ХИМИЯ ДЛЯ ЖИВОТНЫХ;5676;1133;0.1996124031007752;21;29;21;2088;1;54
ТОВАРЫ ДЛЯ ПТИЦ;4831;686;0.14199958600703788;11;19;11;2996;2;62
ЭЛЕМЕНТЫ ПИТАНИЯ;12802;2673;0.20879550070301514;77;85;77;3627;1;35
ТОВАРЫ ДЛЯ ГРЫЗУНОВ;17869;3530;0.19754882757848788;28;40;26;4296;1;136
ОБУВЬ ЖЕНСКАЯ;28317;5893;0.20810820355263623;55;74;51;2328;1;116
ЛАМПЫ/СВЕТИЛЬНИКИ;28823;8264;0.28671547028414807;23;23;23;4233;1;359
ШАПКИ, ШАРФЫ;1529;373;0.24395029431000653;8;16;8;1264;2;47
АКСЕССУАРЫ ДЛЯ ВОЛОС;15287;6324;0.4136848302479231;143;459;141;2493;3;45
КИСЛОМОЛОЧНЫЕ ПРОДУКТЫ;8149;477;0.05853478954472942;51;80;44;3178;2;11
ТЕХНИКА ДЛЯ КУХНИ;13738;4250;0.30936089678264667;18;18;17;1980;1;250
СУМКИ;18842;5066;0.26886742384035667;18;18;18;2554;1;281
ХОЗЯЙСТВЕННЫЕ ТОВАРЫ;15164;5170;0.3409390662094434;72;147;70;2338;2;74
СИСТЕМЫ ХРАНЕНИЯ;58750;10141;0.17261276595744682;42;56;41;3467;1;247
ВИТАМИНЫ/БАДЫ;412;24;0.05825242718446602;4;4;4;2169;1;6
СУМКИ ДЛЯ МАМ;68891;10131;0.14705839659752362;50;50;50;3310;1;203
ГАЛАНТЕРЕЯ;10874;6558;0.6030899393047636;8;8;8;3114;1;820
ТОВАРЫ ДЛЯ РЫБ;2635;582;0.22087286527514233;12;18;12;2099;2;48
СУВЕНИРНАЯ ПРОДУКЦИЯ;206;126;0.6116504854368932;4;4;4;2018;1;32
МЕДИАПРОДУКЦИЯ;5632;851;0.15110085227272727;6;6;6;1409;1;142
АКСЕССУАРЫ МАКИЯЖ, МАНИКЮР;7645;2538;0.3319816873773708;60;102;59;2580;2;43
БИЖУТЕРИЯ;495;176;0.35555555555555557;8;8;7;8972;1;25
СПОРТ.ИНВЕНТАРЬ;248;71;0.2862903225806452;2;3;2;2655;2;36
ЧАСЫ/ОЧКИ;425;100;0.23529411764705882;2;2;2;2878;1;50
ВЕТАПТЕКА;1841;352;0.19120043454644214;8;9;8;4106;1;44
СВЕТООТРАЖАЮЩИЕ ЭЛЕМЕНТЫ;709;213;0.3004231311706629;1;1;1;2018;1;213
ТЕХНИКА ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ;7523;4693;0.6238202844609864;13;13;13;3720;1;361
ТОВАРЫ ДЛЯ ЧЕРЕПАХ И РЕПТИЛИЙ;7641;352;0.04606726868210967;2;2;2;6166;1;176
ЗАПЧАСТИ ДЛЯ ИГРУШЕК;1;0;0.0;1;1;1;1;1;0
ТОВАРЫ ДЛЯ ХОРЬКОВ;69;9;0.13043478260869565;1;1;1;606;1;9
