Кластер 1;Кластер 2;Кластер 3;Кластер 4
4794;1999;1060;12350
917;2099;3630;6140
4356;1538;3303;2180
1496;2399;1099;7244
5204;3478;1068;7500
814;5697;1747;2750
7455;1297;1228;3668
2230;1199;1451;1045
1797;3199;1399;1330
2900;6549;1459;22759
2140;3199;2150;7900
1499;2254;3250;2799
896;1599;4100;9500
2310;3499;1659;13990
2969;448;2445;6630
1699;607;1650;3363
6204;2939;1679;49740
1280;3893;2499;7490
12012;2853;1819;2090
4591;6286;300;2265
1654;1553;419;7057
5849;3899;1540;13400
9957;599;1430;1805
1099;31201;1064;13400
752;799;2209;3325
2098;659;346;9500
6996;7461;1660;4499
16952;760;2400;10780
990;5399;3477;2660
1636;1748;978;31390
8703;6719;1219;2100
915;3015;3051;5800
1136;298;2199;615
2143;677;1482;1200
6294;1449;3221;3040
2098;998;1716;1235
2098;8677;4687;8400
2738;4597;1658;1283
902;15199;6004;7093
1460;1117;4652;152
2900;3199;2700;1746
3173;2898;161;1000
1839;758;2039;4265
17536;1962;5399;7800
2718;1346;679;2371
2949;5999;8054;1050
1663;15356;317;11530
1394;1486;1096;990
1100;1507;3140;4921
344;699;5161;15800
1450;7899;520;6799
1564;4003;839;3132
2275;2129;982;449
2577;359;324;1329
989;3889;1365;32290
4745;599;929;1710
10711;2799;889;810
2556;1498;426;18050
2998;6242;645;205
2794;518;890;1800
6732;2098;2499;7020
1221;2641;839;1938
989;2672;232;1487
2777;3519;3218;6799
2955;1399;2877;1590
2121;918;152;12920
952;1463;909;1355
1765;1525;828;3955
9341;5393;643;11058
6059;1707;1519;1606
5709;999;2598;5761
3487;8668;2879;437
400;1199;2027;17099
2500;12196;1337;8842
999;898;599;2198
2318;2005;1792;12720
7425;2375;1019;8780
15771;1198;4930;3700
3147;2598;1889;7350
2704;1839;230;418
4754;2337;1257;15890
9526;1699;669;8990
8600;1999;1339;21939
1075;933;2400;1170
2258;10586;575;5780
2331;4043;4656;27200
2562;335;701;49260
1178;2495;1076;10185
1978;3189;1439;9475
18207;5298;4073;437
1733;1946;6690;440
2199;5499;636;8350
