Группа3;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
ДЕТСКИЕ КОЛГОТКИ И НОСКИ;1020540;333703;0.32698669331922314;3485;9375;3128;3868;3;107
СРЕДСТВА ГИГИЕНЫ;2460838;356567;0.14489657588187438;7233;12540;6228;4406;2;57
ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ;1315044;500150;0.3803294794698885;2038;2480;1972;4643;1;254
ДЕТСКОЕ БЕЛЬЁ;2393594;645621;0.26972870085737183;3934;7036;3570;3775;2;181
ВЕРХНЯЯ ДЕТСКАЯ ОДЕЖДА;23688433;5671066;0.23940232770989958;7458;9233;6752;5621;1;840
ОДЕЖДА ДЛЯ НОВОРОЖДЕННЫХ (0-2 лет);9203148;2421717;0.26314006902855414;9094;28485;7557;3481;3;320
ЗАМЕНИТЕЛИ МОЛОКА;21265714;948244;0.044590273338576826;8288;9313;6146;4483;1;154
БАКАЛЕЯ;495302;60717;0.12258581633023892;1657;2429;1493;4424;1;41
ДЕТСКАЯ ОДЕЖДА (2-6 лет);7986135;1879390;0.2353316090950128;7762;19921;6379;3388;3;295
ПОДГУЗНИКИ;61941940;1307641;0.021110753069729492;30040;41062;22886;3533;1;57
СОПУТСТВУЮЩИЕ ТОВАРЫ ДЛЯ ОБУВИ;248986;95575;0.38385692368245605;635;777;608;2130;1;157
СРЕДСТВА БЫТОВОЙ ХИМИИ;2720405;469263;0.17249747739766688;4599;9756;4106;3959;2;114
ДЕТСКАЯ ОДЕЖДА (7-16 лет);5656225;1542991;0.2727951946748936;4552;10308;3818;3752;2;404
ОБУВЬ ДЕТСКАЯ;17887357;3714731;0.20767355400800688;11336;18169;9640;3431;2;385
КОЛЯСКИ;59591710;15794919;0.2650522866351712;4175;4356;4009;16210;1;3940
СОСКИ/ПУСТЫШКИ;1718581;307353;0.17884114859875677;4089;6298;3808;4077;2;81
ЭЛЕКТРОПРИБОРЫ;4505004;615669;0.13666336367292903;990;1045;969;7155;1;635
ПРЕДМЕТЫ ПО УХОДУ ЗА НОВОРОЖДЕННЫМИ;1135410;181893;0.16020028007503898;3064;4403;2928;4508;1;62
ИГРУШКИ ДЛЯ РАЗВИТИЯ МАЛЫШЕЙ;18365469;3913856;0.213109504581669;14970;28915;13474;3437;2;290
КОНСТРУКТОРЫ;12340956;-392151;-0.03177638750190828;6508;10767;6129;3041;2;-64
ДЕТСКИЕ СТУЛЬЯ ДЛЯ КОРМЛЕНИЯ;10150865;2453103;0.24166442958309464;1533;1553;1501;7938;1;1634
БУТЫЛОЧКИ;2180214;354082;0.16240699307499173;3042;3949;2899;4288;1;122
ПОСТЕЛЬНОЕ БЕЛЬЕ;6709302;1982078;0.2954223852198038;5683;9631;5059;4141;2;392
КАНЦТОВАРЫ;6805126;2033245;0.2987813892057252;4940;19121;4519;3403;4;450
КАШИ;4130796;333533;0.08074303354607683;6230;18555;5116;4013;3;65
ИГРУШКИ ДЛЯ ДЕВОЧЕК;13060746;3211232;0.24586895725558097;8124;12877;7401;3136;2;434
ТОВАРЫ ДЛЯ МАМ;2920136;471120;0.16133495152280578;4265;8054;3833;3977;2;123
ПОЛИГРАФИЧЕСКАЯ ПРОДУКЦИЯ;1444330;419511;0.2904537051781795;3094;7995;2891;3263;3;145
ПЮРЕ;8662436;562418;0.06492607853033489;6975;46940;5233;4248;7;107
АКТИВНЫЙ ОТДЫХ;1635690;458398;0.2802474796569032;3260;5174;3116;3164;2;147
ТВОРЧЕСТВО;1879669;413130;0.21978869683970956;2559;4645;2408;2893;2;172
ПЕЛЕНКИ ОДНОРАЗОВЫЕ;1156816;140884;0.12178600572606188;2509;3319;2282;4986;1;62
КОЛЯСКИ ДЛЯ КУКОЛ;1622699;750772;0.46266867730860745;719;739;708;3677;1;1060
МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ;565327;178287;0.31536968869344645;1107;1303;1068;3393;1;167
ДЕТСКАЯ МЕБЕЛЬ, МАТРАСЫ;22705240;5575320;0.24555212805502166;4145;5553;3827;8113;1;1457
ДЕТСКАЯ КОСМЕТИКА;3357624;536193;0.15969417659630739;7287;15582;6529;4095;2;82
ФИГУРЫ, ПЕРСОНАЖИ;1194337;215748;0.18064248197954177;2000;3222;1890;3183;2;114
АВТОКРЕСЛА;12796558;3477731;0.27177081524578717;1904;1977;1845;8146;1;1885
АКСЕССУАРЫ;3830171;650474;0.16982897108249215;6176;9545;5743;4360;2;113
ВЕЛОСИПЕДЫ/САМОКАТЫ;5461554;1894758;0.3469265340963396;1701;1768;1649;4029;1;1149
ИГРУШКИ ДЛЯ МАЛЬЧИКОВ;7264983;1224239;0.16851230071701476;5766;8835;5376;2973;2;228
НАСТОЛЬНЫЕ ИГРЫ;2220607;551987;0.24857482661272345;3083;5708;2900;2882;2;190
ТОВАРЫ ДЛЯ КОШЕК;2734740;205436;0.07512085243935437;1677;5424;1376;3358;3;149
ГОЛОВНЫЕ УБОРЫ, ВАРЕЖКИ, ПЕРЧАТКИ;1579504;361919;0.22913458908619413;2914;4510;2682;4650;2;135
КОРЗИНЫ, ЯЩИКИ ДЛЯ ИГРУШЕК;308760;109137;0.35346871356393317;393;435;382;3452;1;286
КАТАЛКИ/КАЧАЛКИ;2055611;833556;0.4055027921138776;993;1035;973;3226;1;857
СПОРТИВНЫЕ КОМПЛЕКСЫ И ПЕСОЧНИЦЫ;6699901;1659628;0.24770933182445531;1411;1581;1377;6023;1;1205
НАПИТКИ;666281;67896;0.10190295085707081;1786;5686;1464;4532;3;46
КОНДИТЕРСКИЕ ИЗДЕЛИЯ;620411;55219;0.0890039022518943;1910;3666;1671;4471;2;33
ПОСУДА;1896413;368325;0.19422193372435223;4047;6038;3787;3833;1;97
ТРУСИКИ НЕПРОМОКАЕМЫЕ;412434;76056;0.1844076870481095;506;674;475;3397;1;160
ВСЁ ДЛЯ ПРАЗДНИКА;324995;91675;0.2820812627886583;832;2172;785;3014;3;117
ЭЛЕКТРОМОБИЛИ/МАШИНЫ ПЕДАЛЬНЫЕ;1541064;520917;0.33802424818177573;203;207;200;8421;1;2605
КОСМЕТИКА/ГИГИЕНА ДЛЯ МАМ;28743;6818;0.23720558048916257;169;215;161;3985;1;42
КИСЛОМОЛОЧНЫЕ ПРОДУКТЫ;24137;1766;0.07316567924762812;140;219;124;4111;2;14
МЯГКИЕ ИГРУШКИ;1454411;302730;0.20814611550655213;1413;1644;1369;2825;1;221
МОЛОКООТСОСЫ;1996227;281971;0.1412519718448854;607;614;599;7195;1;471
ПРОДУКТЫ ПИТАНИЯ ДЛЯ МАМ;373105;25130;0.06735369400034842;565;672;491;3060;1;51
МАНЕЖИ/ШЕЗЛОНГИ;2556776;611400;0.23912927843502912;501;519;495;7572;1;1235
ХОДУНКИ/ПРЫГУНКИ;471719;169081;0.35843584846063015;239;243;238;4169;1;710
ФОТОАЛЬБОМЫ/ФОТОРАМКИ;110636;31045;0.28060486640876386;192;225;190;3464;1;163
ОБУВЬ ЖЕНСКАЯ;53003;9921;0.18717808425938154;107;147;100;3180;1;99
ТЕХНИКА ДЛЯ КУХНИ;17467;4963;0.28413579893513485;25;25;23;2890;1;216
ДЕКОР;46322;9199;0.19858814386252752;100;130;98;3008;1;94
АКСЕССУАРЫ ДЛЯ ДЕВОЧЕК;78973;35195;0.4456586428272954;303;522;288;3442;2;122
ТОВАРЫ ДЛЯ СОБАК;1214197;96200;0.07922931781251312;692;1578;591;3461;2;163
АКСЕССУАРЫ ДЛЯ ВОЛОС;28023;12513;0.44652606787281873;259;770;247;3176;3;51
АКСЕССУАРЫ МАКИЯЖ, МАНИКЮР;13489;4875;0.361405589739788;103;166;102;3086;2;48
КОПИЛКИ, БРЕЛОКИ, МАГНИТИКИ;9643;1464;0.1518199730374365;44;50;44;2467;1;33
ОДЕЖДА, ОБУВЬ;43029;20684;0.4806990634223431;163;493;148;3501;3;140
САНКИ/СНЕГОКАТЫ;421772;118480;0.28091006515368494;158;174;156;4226;1;759
ЭЛЕМЕНТЫ ПИТАНИЯ;34902;8957;0.25663285771589023;169;188;165;4416;1;54
БЫТОВАЯ ХИМИЯ ДЛЯ ЖИВОТНЫХ;9731;2112;0.21703833110677218;33;45;33;2869;1;64
ТОВАРЫ ДЛЯ ПТИЦ;8978;1634;0.1820004455335264;21;42;20;2872;2;82
СИСТЕМЫ ХРАНЕНИЯ;88515;18468;0.20864260294865278;75;98;71;4639;1;260
ТОВАРЫ ДЛЯ ГРЫЗУНОВ;23025;4821;0.20938110749185668;47;72;44;3994;2;110
ЛАМПЫ/СВЕТИЛЬНИКИ;50844;14180;0.27889229800959797;42;42;42;4767;1;338
ТОВАРЫ ДЛЯ РЫБ;3394;765;0.22539776075427226;16;22;16;2387;1;48
ШАПКИ, ШАРФЫ;2613;732;0.2801377726750861;14;30;14;1641;2;52
СУМКИ;28020;7387;0.26363311920057103;32;32;32;3608;1;231
ХОЗЯЙСТВЕННЫЕ ТОВАРЫ;20042;6951;0.3468216744835845;111;202;108;2982;2;64
ВИТАМИНЫ/БАДЫ;964;58;0.06016597510373444;6;6;6;3263;1;10
СУМКИ ДЛЯ МАМ;105948;16454;0.1553026012760977;74;74;73;4527;1;225
ГАЛАНТЕРЕЯ;18029;9951;0.551944090077098;15;16;14;4191;1;711
ВЕТАПТЕКА;3647;850;0.23306827529476282;16;18;16;3510;1;53
СУВЕНИРНАЯ ПРОДУКЦИЯ;299;185;0.6187290969899666;6;6;6;1738;1;31
ЗАПЧАСТИ ДЛЯ ИГРУШЕК;2;0;0.0;2;2;2;1;1;0
МЕДИАПРОДУКЦИЯ;7550;1282;0.16980132450331126;9;9;9;2018;1;142
ТЕХНИКА ДЛЯ КРАСОТЫ И ЗДОРОВЬЯ;16372;8438;0.5153921329098461;18;18;18;3628;1;469
ЧАСЫ/ОЧКИ;4391;1301;0.29628786153495784;6;6;6;3175;1;217
БИЖУТЕРИЯ;844;284;0.33649289099526064;12;12;11;6782;1;26
СПОРТ.ИНВЕНТАРЬ;1359;511;0.37601177336276675;7;9;7;6324;1;73
