Группа2;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
ТЕКСТИЛЬ, ТРИКОТАЖ;32624056;7953404;0.24378955210228917;18674;56369;15544;2869;3;512
КОСМЕТИКА/ГИГИЕНА;6651888;1007462;0.15145504554496408;9772;26642;8448;2956;3;119
КРУПНОГАБАРИТНЫЙ ТОВАР;94964546;25290705;0.26631733699858895;13070;15296;12167;8041;1;2079
ДЕТСКОЕ ПИТАНИЕ;17409701;777033;0.04463218523971205;9582;39711;7397;3207;4;105
ПОДГУЗНИКИ;40632850;798755;0.019657863034465956;20620;29269;16149;2959;1;49
ОБУВЬ;9419002;1799412;0.1910406219257624;6619;10171;5902;2325;2;305
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;9377756;1395344;0.14879295217320646;8564;16029;7760;3249;2;180
ИГРУШКИ;37469931;6000163;0.16013274750892922;24655;52799;22087;2351;2;272
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;5058525;1500506;0.29662915573215515;4535;15148;4246;2544;3;353
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;2547444;196705;0.07721661398641148;1507;4313;1257;2765;3;156
ЖЕНСКИЕ ШТУЧКИ;85727;34529;0.4027785878428033;342;1135;327;2636;3;106
СОПУТСТВУЮЩИЕ ТОВАРЫ;111034;36116;0.32526973719761515;321;432;315;2640;1;115
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;203056;46609;0.2295376644866441;237;377;225;2674;2;207
