МесяцДатыЗаказа;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
7;124238397;24383998;0.19626780921843348;39826;123444;34242;3261;3;712
8;132317119;22452746;0.16968889717134789;44542;144247;38320;3123;3;586
