МесяцДатыЗаказа;Выручка;Абсолютная маржа;Маржа;Кол-во чеков;Кол-во товаров;Кол-во уникальных клиентов;Средний чек;Среднее кол-во товаров в чеке;Ценность клиента
7;198388068;37951766;0.19130064818212755;61356;225913;50366;3637;4;754
8;207539388;36506233;0.17590026332736416;65757;247591;54777;3599;4;666
