Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
2583;2059;9137;2349;;;;;
570;3398;2597;3249;;;;;
1612;1668;2297;4049;;;;;
2273;4933;4199;24089;;;;;
2984;3744;1738;24039;;;;;
8039;2513;3706;23940;;;;;
5699;2305;659;8939;;;;;
1131;848;448;29049;;;;;
4449;2354;2098;2139;;;;;
3008;447;1415;7999;;;;;
2975;3709;2326;17399;;;;;
1614;1648;5817;6098;;;;;
1478;1582;647;32026;;;;;
7942;1148;4049;32318;;;;;
5779;7129;279;479;;;;;
5824;1948;3098;2569;;;;;
9024;2311;1908;1646;;;;;
2003;652;3449;1279;;;;;
2182;1973;1222;3799;;;;;
977;1278;2820;1469;;;;;
4386;5848;1289;792;;;;;
826;1118;2248;6898;;;;;
867;548;685;8091;;;;;
3188;698;859;2219;;;;;
4055;408;566;7029;;;;;
2497;1438;1247;4598;;;;;
2917;4135;2197;2474;;;;;
2999;998;1509;5299;;;;;
2097;1036;3765;2355;;;;;
2097;508;753;2124;;;;;
2622;2126;1593;1724;;;;;
2587;12846;1443;9033;;;;;
13089;448;3598;2899;;;;;
1837;11646;659;562;;;;;
4095;2248;984;15364;;;;;
2681;1932;294;36598;;;;;
3069;3388;1016;2177;;;;;
977;1513;2870;598;;;;;
1092;308;2499;18145;;;;;
3066;3748;462;1714;;;;;
3445;608;2624;1098;;;;;
7729;1283;1783;22449;;;;;
3436;1048;2904;1329;;;;;
4741;2491;818;26089;;;;;
9099;2946;2128;3894;;;;;
2572;9548;1322;3994;;;;;
2999;3185;622;14980;;;;;
2175;1239;1519;23442;;;;;
1086;1338;4878;12502;;;;;
7099;4305;529;15346;;;;;
2077;398;1270;26499;;;;;
1427;3430;1413;27663;;;;;
6393;3718;5579;1849;;;;;
1580;1521;576;13849;;;;;
2077;4454;1570;21307;;;;;
3066;1794;1557;2258;;;;;
1870;2774;1708;4049;;;;;
1796;1106;1998;3234;;;;;
3816;911;2901;949;;;;;
552;2998;1481;3299;;;;;
1424;1148;638;12937;;;;;
6539;4550;2758;1098;;;;;
4731;1054;359;2199;;;;;
2197;4047;698;4889;;;;;
1039;4073;698;10891;;;;;
1676;2848;1740;3994;;;;;
2458;1751;1350;25605;;;;;
1198;4648;616;10099;;;;;
4862;1276;709;2979;;;;;
924;1288;698;1448;;;;;
5265;418;3598;1103;;;;;
1088;12274;158;2355;;;;;
3177;658;1484;2854;;;;;
1123;3214;1139;6283;;;;;
6416;2286;439;24089;;;;;
2476;2342;1700;21599;;;;;
1598;1427;3519;2849;;;;;
1406;3910;2081;4098;;;;;
1549;1057;1480;13299;;;;;
10049;6511;217;1849;;;;;
2500;2470;8911;53397;;;;;
2461;1196;388;10548;;;;;
2582;1065;1448;11052;;;;;
4055;1165;3193;12599;;;;;
7979;10612;889;4698;;;;;
2077;1684;3097;3869;;;;;
3099;1252;3603;6098;;;;;
3748;4997;289;11119;;;;;
1495;935;608;608;;;;;
2443;2060;1555;489;;;;;
4530;4606;764;744;;;;;
2197;4113;803;12185;;;;;
2604;1232;1568;7784;;;;;
4761;1462;891;2189;;;;;
592;4048;845;9424;;;;;
1776;1722;258;2469;;;;;
2132;2317;1269;3649;;;;;
5806;1526;1578;4598;;;;;
3432;1526;1256;25499;;;;;
3796;1587;1548;34014;;;;;
1279;2080;1109;7249;;;;;
2346;1098;938;3138;;;;;
18009;2188;2879;26604;;;;;
21712;1356;375;1526;;;;;
2139;1243;1868;17119;;;;;
399;2058;11876;2474;;;;;
3246;598;2073;38312;;;;;
2269;870;896;5098;;;;;
1806;848;1957;789;;;;;
2599;1596;5080;1609;;;;;
1887;3704;5068;1709;;;;;
4251;1722;496;2222;;;;;
1573;1198;889;8089;;;;;
733;1359;2091;3994;;;;;
1956;7034;1716;858;;;;;
1291;1098;599;6326;;;;;
3511;398;872;5339;;;;;
4574;3424;3053;5098;;;;;
643;2737;552;3598;;;;;
1188;6518;798;7079;;;;;
2494;1265;1058;1189;;;;;
2494;2999;339;3341;;;;;
895;1446;3258;2453;;;;;
3240;826;1869;6129;;;;;
3444;3698;358;1819;;;;;
1031;1076;1809;3569;;;;;
2376;2673;999;17084;;;;;
1107;2598;798;3614;;;;;
2220;1842;3018;2999;;;;;
4134;920;2507;16929;;;;;
3251;2134;5286;55099;;;;;
1739;592;1989;1904;;;;;
4098;10963;3163;6178;;;;;
927;223;707;10104;;;;;
1048;2692;488;3498;;;;;
897;2625;1758;4763;;;;;
4879;1115;492;4098;;;;;
3244;2011;2798;13799;;;;;
1598;2741;1169;3138;;;;;
6289;1648;10999;19094;;;;;
2284;2298;2778;1524;;;;;
1798;4441;447;1199;;;;;
3246;798;1301;330;;;;;
1302;3814;776;5028;;;;;
2197;1950;1152;16797;;;;;
1124;8491;740;14549;;;;;
1569;1341;827;9089;;;;;
491;3018;4462;7999;;;;;
2488;847;1307;19475;;;;;
3967;1898;1369;140;;;;;
4095;1995;2998;20984;;;;;
6749;7552;2276;1619;;;;;
1224;6278;3143;3098;;;;;
2317;6897;1195;3865;;;;;
1271;1062;539;9779;;;;;
1791;2772;1408;5508;;;;;
8643;1998;2470;1349;;;;;
1574;5893;2284;5143;;;;;
2147;3834;1297;23750;;;;;
1776;1842;3732;13190;;;;;
1449;6491;1726;13098;;;;;
1709;2438;683;4679;;;;;
1430;1766;11098;8495;;;;;
1045;5835;2543;15114;;;;;
2416;3413;2257;2524;;;;;
2097;2436;3664;8354;;;;;
10589;798;925;10487;;;;;
5066;7897;1887;1179;;;;;
4304;11765;3008;4887;;;;;
1959;2030;1404;949;;;;;
1640;2296;3898;18999;;;;;
2132;2095;1182;3851;;;;;
3277;2496;2018;4839;;;;;
5844;4287;1948;11400;;;;;
1734;15444;1498;5887;;;;;
3624;598;1384;36218;;;;;
2958;3880;1038;14353;;;;;
1144;3598;3734;24675;;;;;
4067;2338;1841;6098;;;;;
6259;2613;2015;24799;;;;;
2003;2630;2882;740;;;;;
1248;859;2859;5989;;;;;
3032;1117;1847;10449;;;;;
4786;1998;668;21159;;;;;
3744;496;2151;3709;;;;;
1549;2698;3658;2854;;;;;
4599;598;922;17328;;;;;
2265;20266;5184;9988;;;;;
4032;1592;489;7558;;;;;
1505;1321;3078;3789;;;;;
4458;2448;918;5321;;;;;
2949;436;1187;4098;;;;;
2446;1348;2526;1614;;;;;
2244;1448;725;4778;;;;;
3700;1848;1033;9089;;;;;
3115;2099;5449;7699;;;;;
898;1890;6097;23100;;;;;
2189;13496;672;12330;;;;;
4743;448;3097;1096;;;;;
14986;5558;1549;7289;;;;;
1371;4198;2186;1239;;;;;
1979;1648;1978;19999;;;;;
8166;1047;755;2889;;;;;
2449;2086;1633;9789;;;;;
1270;1607;949;9172;;;;;
1496;1332;1825;24221;;;;;
1908;4198;385;11375;;;;;
3081;2210;2485;1849;;;;;
3803;4138;599;28081;;;;;
2242;1546;387;2559;;;;;
7835;1165;2255;3980;;;;;
3088;392;1266;849;;;;;
5950;2748;1128;909;;;;;
3262;3068;1664;4799;;;;;
8199;2048;1098;17298;;;;;
1695;1058;1210;20199;;;;;
3405;1751;2269;19235;;;;;
3719;1548;5686;11129;;;;;
4133;904;2601;26068;;;;;
2780;2225;4893;3148;;;;;
849;4348;757;6898;;;;;
2519;2448;3558;1469;;;;;
1549;4636;2098;1952;;;;;
2815;1667;1588;2129;;;;;
1920;1022;2504;6169;;;;;
2999;2559;2098;12783;;;;;
2770;562;2559;3649;;;;;
1637;780;539;2649;;;;;
1597;1414;1398;1264;;;;;
1549;512;1048;19949;;;;;
997;3256;498;2628;;;;;
984;904;259;1186;;;;;
2118;748;5971;24699;;;;;
1200;3101;1608;3404;;;;;
1678;4348;3188;749;;;;;
2328;9247;1648;4778;;;;;
237;2848;1709;5774;;;;;
1652;227;1108;5598;;;;;
1596;915;1142;1989;;;;;
6752;1127;2228;10814;;;;;
3166;3962;1378;2589;;;;;
1408;1661;2858;2674;;;;;
2252;1895;3468;20267;;;;;
2930;948;1588;37035;;;;;
2751;3936;939;3726;;;;;
669;3103;630;11210;;;;;
1859;348;1298;10199;;;;;
2133;1448;1098;2103;;;;;
1089;1248;3448;14999;;;;;
1344;748;1587;8098;;;;;
2576;748;706;3763;;;;;
1449;1527;1296;13864;;;;;
4859;1994;2255;5299;;;;;
7000;1209;5600;4386;;;;;
2803;598;968;14806;;;;;
236;847;3994;2649;;;;;
2764;3646;802;13707;;;;;
1488;1497;1437;4793;;;;;
2999;2033;1413;1139;;;;;
2379;1296;2300;13348;;;;;
1340;2398;5498;5689;;;;;
1549;6098;1408;3953;;;;;
4672;2633;1539;9698;;;;;
1969;2552;748;9084;;;;;
1798;858;668;5648;;;;;
1241;2798;799;23550;;;;;
2599;2285;2804;3188;;;;;
3594;2952;1059;11609;;;;;
1798;1798;1599;22049;;;;;
2191;1857;4592;1889;;;;;
419;792;1012;2345;;;;;
1598;3056;2708;1199;;;;;
1089;3262;2098;3994;;;;;
4402;3252;618;13599;;;;;
2585;4098;451;2747;;;;;
4847;494;2398;319;;;;;
2782;926;389;21770;;;;;
2138;4098;2248;14699;;;;;
2368;1861;1493;2034;;;;;
6537;797;1475;1638;;;;;
1926;2798;1488;35719;;;;;
1798;1751;1365;6166;;;;;
1148;2842;1595;6079;;;;;
1278;1844;2362;5980;;;;;
955;1498;2097;6749;;;;;
1149;685;2893;2592;;;;;
1798;891;5825;17089;;;;;
6580;5094;1256;12999;;;;;
3324;859;679;12089;;;;;
3923;3047;548;3049;;;;;
1549;3165;668;5690;;;;;
1486;808;908;4544;;;;;
783;4096;4204;3354;;;;;
2173;1480;1664;5232;;;;;
1038;7698;898;7799;;;;;
1648;3931;4812;10688;;;;;
2419;1655;458;26411;;;;;
2497;3114;12449;7689;;;;;
1549;898;987;3599;;;;;
2136;1597;2460;11629;;;;;
5089;1135;3252;23932;;;;;
6084;3387;3515;21699;;;;;
3246;544;2409;10049;;;;;
3418;8883;2068;11799;;;;;
2774;2333;1198;27990;;;;;
1424;3279;1016;17611;;;;;
2957;6197;919;404;;;;;
2362;7260;4249;11298;;;;;
2997;2910;1936;22424;;;;;
2372;417;2113;10729;;;;;
3787;1916;4721;7568;;;;;
2700;3198;3749;13130;;;;;
1248;3704;798;2474;;;;;
3122;927;3287;18390;;;;;
5319;6144;1818;5458;;;;;
8522;1296;628;4778;;;;;
1858;996;985;29099;;;;;
1854;2298;1408;4679;;;;;
2776;498;519;5396;;;;;
3066;3884;1263;25788;;;;;
2955;697;2695;5909;;;;;
2359;798;550;3881;;;;;
3084;2253;2648;33465;;;;;
2411;6997;128;3499;;;;;
3918;5098;3564;37754;;;;;
2077;1863;1765;26073;;;;;
1483;5497;929;7490;;;;;
3507;223;3994;1890;;;;;
1055;698;1178;3415;;;;;
1647;858;598;37499;;;;;
1097;4939;302;4778;;;;;
3050;1738;1629;4449;;;;;
1549;2732;2699;2097;;;;;
5658;948;3848;17579;;;;;
904;2002;600;21479;;;;;
2967;3501;749;4699;;;;;
2931;2143;2899;20076;;;;;
2564;5692;296;23740;;;;;
3622;1672;594;5535;;;;;
2584;1361;1148;8364;;;;;
1549;1727;2874;6369;;;;;
957;6744;818;12549;;;;;
5234;3078;1688;5098;;;;;
1275;3662;923;32444;;;;;
1833;897;4968;2039;;;;;
3961;3682;3848;18144;;;;;
3808;2069;1667;3139;;;;;
2079;1203;508;9850;;;;;
6059;2654;989;20904;;;;;
7599;11972;1016;43015;;;;;
1776;3688;3498;10567;;;;;
1549;4609;1273;5598;;;;;
4455;1290;1264;7095;;;;;
4584;366;556;2949;;;;;
2089;2095;2310;11848;;;;;
1075;4132;1314;24114;;;;;
1985;507;749;22519;;;;;
1811;3722;2480;26874;;;;;
1798;5985;1499;21399;;;;;
2291;1576;1429;1325;;;;;
1764;1245;738;16841;;;;;
1659;2427;847;23278;;;;;
1597;3498;648;7339;;;;;
1767;3344;1587;1989;;;;;
2649;1486;370;19089;;;;;
3449;5718;2532;13398;;;;;
2397;1545;319;5872;;;;;
4950;1698;958;4098;;;;;
3048;2718;2643;18960;;;;;
1227;1998;1489;4309;;;;;
1357;2769;738;5490;;;;;
1098;1954;1544;21236;;;;;
3650;2285;1988;11739;;;;;
2186;2600;1868;13579;;;;;
3481;2598;1159;10399;;;;;
554;9981;1039;16343;;;;;
849;3764;707;6018;;;;;
6400;9631;1599;7999;;;;;
2410;2966;1701;14901;;;;;
2319;1998;1067;10449;;;;;
2649;14427;850;41320;;;;;
2499;3746;398;13870;;;;;
3188;902;1238;6840;;;;;
2898;2395;1775;6473;;;;;
1327;5806;806;7220;;;;;
3524;981;1622;3488;;;;;
2079;3048;944;1724;;;;;
2597;1455;960;2704;;;;;
2097;4498;1419;13823;;;;;
561;1175;2929;2888;;;;;
1390;3398;3169;8436;;;;;
517;2398;4009;2043;;;;;
2000;2298;2598;5238;;;;;
3873;3858;2574;20990;;;;;
2999;2396;3786;2749;;;;;
2831;1560;1248;3526;;;;;
2077;1268;2122;5189;;;;;
2999;1182;2024;4329;;;;;
2271;4998;689;5648;;;;;
9819;2253;510;10518;;;;;
2281;5843;3747;13995;;;;;
1598;3724;2879;729;;;;;
1420;3041;767;12849;;;;;
3497;5177;798;26271;;;;;
1764;1226;1199;10348;;;;;
3048;2698;1952;2147;;;;;
2699;2005;508;5783;;;;;
1502;1966;158;2389;;;;;
3810;5190;1411;7574;;;;;
2050;2936;918;1579;;;;;
3696;2502;2576;1189;;;;;
5626;6559;1122;11721;;;;;
4118;1268;1049;2850;;;;;
2097;5311;3048;18729;;;;;
3450;876;613;13198;;;;;
1609;1605;698;1398;;;;;
1091;798;4379;17226;;;;;
1252;6745;4758;1179;;;;;
2145;3098;2044;2949;;;;;
2321;2363;1629;25167;;;;;
3375;1553;1498;25949;;;;;
1698;2086;1879;1138;;;;;
3936;3202;2908;4098;;;;;
1632;2531;289;4639;;;;;
1342;9591;11162;6118;;;;;
3457;10538;1079;13978;;;;;
381;551;863;5046;;;;;
5152;1902;3949;6648;;;;;
6375;8564;1920;19999;;;;;
1098;5087;2618;2429;;;;;
1380;2644;2249;5789;;;;;
1120;4876;2546;8268;;;;;
3234;760;3207;4118;;;;;
1694;7415;215;12069;;;;;
1549;2556;2572;11699;;;;;
2149;3698;2331;16124;;;;;
2118;2694;4184;12726;;;;;
1064;1494;877;10091;;;;;
2026;1838;1207;2854;;;;;
2520;2628;572;13778;;;;;
3122;2621;834;8098;;;;;
3439;1951;2238;13285;;;;;
2887;2225;1304;13388;;;;;
1088;1408;3300;5089;;;;;
3735;8826;3579;60486;;;;;
3800;670;407;2649;;;;;
4295;3194;2538;29299;;;;;
804;3604;2697;4559;;;;;
3979;4423;583;6792;;;;;
1418;1047;719;3166;;;;;
6177;898;1948;5798;;;;;
4449;1205;1334;4898;;;;;
1100;816;678;5598;;;;;
1248;4478;3887;12549;;;;;
544;1398;1826;17299;;;;;
2061;2352;1948;4778;;;;;
1619;6712;398;10938;;;;;
1103;1296;1646;4398;;;;;
3497;5747;3138;4778;;;;;
1034;1700;822;5089;;;;;
1510;1038;1232;5424;;;;;
2874;1688;1615;10199;;;;;
4337;1458;1498;2854;;;;;
811;1633;980;4009;;;;;
4917;1618;1908;12429;;;;;
3110;748;3848;2429;;;;;
3706;1719;3888;2739;;;;;
339;3256;5198;6898;;;;;
3103;2689;478;6409;;;;;
2251;1597;715;6267;;;;;
2470;1515;461;9089;;;;;
1727;697;659;9089;;;;;
1216;1868;779;11319;;;;;
54827;8862;1901;1524;;;;;
2059;2947;369;12449;;;;;
1729;898;1930;9998;;;;;
1716;798;363;25349;;;;;
992;2219;1454;2389;;;;;
3549;3599;3886;17614;;;;;
1167;938;1111;1299;;;;;
1595;8978;1828;16300;;;;;
1649;5297;2399;23910;;;;;
2197;1576;3498;2169;;;;;
1811;4130;5399;6943;;;;;
2280;1298;853;16299;;;;;
1089;2537;721;4698;;;;;
3697;1784;367;36500;;;;;
1297;1799;1246;2089;;;;;
959;1398;1318;8523;;;;;
805;697;2375;9086;;;;;
2176;2898;298;8098;;;;;
2295;5435;1390;1289;;;;;
1921;2205;3723;3140;;;;;
654;1914;8265;3348;;;;;
2147;2405;1307;337;;;;;
2649;5812;925;1649;;;;;
2097;592;1918;22599;;;;;
1223;997;1204;11449;;;;;
2603;2398;428;3763;;;;;
1098;2730;2227;28090;;;;;
5199;1830;1159;9189;;;;;
1064;5828;2073;6398;;;;;
1038;4834;6312;16248;;;;;
548;4193;958;7849;;;;;
3699;1160;2616;15704;;;;;
2328;2572;951;10538;;;;;
458;4601;447;639;;;;;
2913;2368;1396;18209;;;;;
618;1284;1625;2994;;;;;
1088;2416;634;3904;;;;;
2917;8496;1249;9807;;;;;
2189;536;1726;5620;;;;;
1254;2844;2333;8174;;;;;
1148;3000;1406;6399;;;;;
3296;5548;459;5729;;;;;
919;2098;1219;14898;;;;;
1399;806;1423;15124;;;;;
1646;1748;1938;7570;;;;;
2180;1098;1011;3149;;;;;
2756;2399;1161;3878;;;;;
2599;2032;398;16589;;;;;
10592;1850;1423;4898;;;;;
3096;898;5046;3602;;;;;
2026;2798;711;4778;;;;;
1338;2847;1583;31089;;;;;
4095;5372;5686;1989;;;;;
2197;2126;1523;32449;;;;;
1089;2428;4639;5740;;;;;
5736;2661;1562;919;;;;;
1324;727;2074;4778;;;;;
2088;2363;1188;2999;;;;;
1539;1598;1818;8274;;;;;
1098;5198;2974;2949;;;;;
2338;3017;758;6174;;;;;
789;2914;1186;2283;;;;;
2607;4698;2149;5719;;;;;
1098;3438;958;5327;;;;;
1378;1426;1894;11928;;;;;
1286;1440;969;27906;;;;;
939;2798;1508;8959;;;;;
2516;2051;808;25699;;;;;
1632;2831;958;6039;;;;;
2079;1917;3078;5548;;;;;
2028;1441;1828;11448;;;;;
2079;3298;966;29450;;;;;
3952;1198;520;5986;;;;;
3634;2211;555;1577;;;;;
1848;8284;3078;1759;;;;;
1089;850;1998;15730;;;;;
658;2914;796;35180;;;;;
5124;1783;1598;2519;;;;;
1573;1898;2916;4848;;;;;
2197;4688;3716;1749;;;;;
4381;2022;4276;3089;;;;;
6487;2928;4087;2539;;;;;
1549;796;2358;14449;;;;;
18795;4177;643;22374;;;;;
2800;1098;393;7739;;;;;
4055;1705;119;4990;;;;;
3397;3004;359;3469;;;;;
3888;1438;6924;2829;;;;;
5475;1596;1376;6689;;;;;
5268;1658;974;724;;;;;
454;2498;508;1008;;;;;
3878;6000;447;7978;;;;;
1848;1192;2428;3859;;;;;
1251;3098;1251;16260;;;;;
2312;879;1728;4940;;;;;
2810;4198;1133;1999;;;;;
1024;4511;2823;4989;;;;;
1185;3598;558;1279;;;;;
5521;3142;958;8929;;;;;
768;3514;1424;3089;;;;;
3146;2098;989;1437;;;;;
952;6362;468;1439;;;;;
1266;2716;9568;501;;;;;
4689;568;624;2375;;;;;
1650;1579;1159;18556;;;;;
4586;2497;2095;10014;;;;;
2277;7399;738;5415;;;;;
2726;2101;1652;4134;;;;;
3854;898;423;3199;;;;;
2592;3748;1614;7600;;;;;
4295;683;1614;10200;;;;;
7444;2291;1335;3839;;;;;
534;2598;1448;1549;;;;;
1695;1048;670;1039;;;;;
1345;998;2099;5124;;;;;
4363;1298;2939;6888;;;;;
969;1209;3906;7540;;;;;
375;2715;754;2048;;;;;
2358;1758;1858;1029;;;;;
5316;2495;729;3598;;;;;
3076;1310;578;11029;;;;;
2079;3148;1075;174;;;;;
2197;3414;1210;2614;;;;;
5680;2759;1297;729;;;;;
1609;596;2379;1425;;;;;
1938;5252;1201;3746;;;;;
677;3384;2740;13336;;;;;
1270;4198;1618;2039;;;;;
5459;228;1047;1759;;;;;
3397;3438;448;25572;;;;;
879;2098;1434;4941;;;;;
4864;1741;569;6223;;;;;
2317;1434;4658;18948;;;;;
3898;5102;1367;5274;;;;;
952;2858;2081;6650;;;;;
1549;2198;4502;3074;;;;;
1997;4468;1324;1339;;;;;
2459;528;4000;1339;;;;;
3633;1098;2205;1189;;;;;
8912;2397;899;2993;;;;;
7563;678;1426;5849;;;;;
2298;2998;3146;1641;;;;;
7205;5126;1221;3260;;;;;
1759;3498;3005;4590;;;;;
2268;4094;5925;13480;;;;;
1614;5938;1729;459;;;;;
2546;1157;2373;7467;;;;;
7108;6002;684;8739;;;;;
1983;2220;2290;24456;;;;;
4168;1325;320;3874;;;;;
2177;3898;1388;11068;;;;;
2425;1265;1121;5502;;;;;
696;2097;1598;5239;;;;;
1574;1123;1110;27949;;;;;
1374;1431;1389;5799;;;;;
1648;2177;469;9829;;;;;
17179;1815;1271;1639;;;;;
2517;4548;7148;1474;;;;;
2504;769;11116;4079;;;;;
1786;3681;862;14039;;;;;
5882;748;2418;1963;;;;;
1567;1046;3098;1474;;;;;
1399;2307;1498;44601;;;;;
3196;1253;939;1039;;;;;
1294;3381;1517;1299;;;;;
3296;987;2702;27074;;;;;
2289;2714;663;5164;;;;;
2832;2908;2041;26349;;;;;
1541;1245;729;11951;;;;;
6671;1858;2459;4778;;;;;
1476;3894;951;6997;;;;;
3490;1700;630;1750;;;;;
4493;2698;734;7199;;;;;
3212;3598;709;15434;;;;;
578;1599;7020;4990;;;;;
1129;998;942;18557;;;;;
2934;6797;3069;25414;;;;;
670;2750;884;8265;;;;;
2127;2106;2198;2649;;;;;
3721;1191;568;3094;;;;;
628;3265;3846;5408;;;;;
1897;5223;9504;2250;;;;;
1088;1636;2276;3659;;;;;
1116;3548;2358;1948;;;;;
1039;1421;3749;11635;;;;;
2959;598;2968;34599;;;;;
8659;1447;8858;1389;;;;;
1091;1112;2199;3965;;;;;
4149;3416;2782;749;;;;;
2197;2394;541;1300;;;;;
1324;3798;1752;25889;;;;;
1127;2748;779;2479;;;;;
3069;1598;2697;4769;;;;;
1705;1053;2998;4020;;;;;
3835;825;3374;6689;;;;;
1515;4448;6496;12652;;;;;
5790;498;2670;3561;;;;;
8824;7362;1428;5274;;;;;
1549;3298;2378;2386;;;;;
598;7603;387;6799;;;;;
4167;430;2230;1039;;;;;
3066;1274;5329;26449;;;;;
3959;1581;1394;2345;;;;;
635;1118;538;4418;;;;;
889;2123;2659;22420;;;;;
3530;1584;1017;7239;;;;;
3096;6519;3938;4679;;;;;
2223;1798;648;4769;;;;;
6724;874;337;13312;;;;;
2197;1678;3349;3909;;;;;
263;1798;498;9679;;;;;
1549;3518;1239;13988;;;;;
4304;998;597;1318;;;;;
8444;1936;4505;4589;;;;;
805;4615;1315;4728;;;;;
4220;2848;5794;16198;;;;;
2123;2305;1550;2899;;;;;
1450;1940;1550;201;;;;;
3894;2110;1358;1948;;;;;
6169;2653;4485;4561;;;;;
4105;517;1134;2039;;;;;
2492;1098;2091;40415;;;;;
4529;4711;3097;3024;;;;;
2782;1981;2485;28549;;;;;
2744;5900;1394;5039;;;;;
1598;1496;1288;649;;;;;
2314;4468;7260;19938;;;;;
3304;2005;3195;1939;;;;;
2754;7133;1689;4047;;;;;
3164;3040;7799;27744;;;;;
2179;1797;418;600;;;;;
1101;648;1904;210;;;;;
865;248;267;25549;;;;;
725;1215;1338;2319;;;;;
3659;2722;399;26220;;;;;
577;2109;409;1089;;;;;
2179;1379;337;4135;;;;;
4249;948;928;18354;;;;;
5149;885;528;2995;;;;;
1579;1536;649;3165;;;;;
2665;1126;2029;1419;;;;;
4355;1898;988;1849;;;;;
2177;3670;349;1419;;;;;
5144;1795;808;2609;;;;;
2373;2146;1008;7273;;;;;
2185;5057;1789;1198;;;;;
1908;4498;1166;3950;;;;;
3146;2013;619;2059;;;;;
2590;322;1008;3679;;;;;
983;5398;2747;6175;;;;;
1858;4448;1148;4714;;;;;
2483;1748;8895;1284;;;;;
1978;1085;3662;6270;;;;;
4404;1905;1988;1528;;;;;
4105;1253;1185;23964;;;;;
1496;7748;2599;4899;;;;;
3882;628;2360;6898;;;;;
7102;1776;674;1332;;;;;
3093;1238;4216;6564;;;;;
2878;3465;9135;10949;;;;;
2613;3548;1188;188;;;;;
5559;1098;1885;1094;;;;;
2329;1969;3649;2799;;;;;
1476;6999;719;5320;;;;;
2495;407;723;26394;;;;;
575;2377;1335;2289;;;;;
2424;327;758;7218;;;;;
1858;2690;1163;10206;;;;;
6086;1998;778;4309;;;;;
8589;1563;2137;16939;;;;;
1148;10995;808;3635;;;;;
2658;3798;1329;16249;;;;;
7166;6654;676;1039;;;;;
5331;1400;1633;4309;;;;;
1908;1498;2968;1378;;;;;
1148;2016;1054;5499;;;;;
976;994;1962;3550;;;;;
1167;1198;2598;980;;;;;
709;803;3889;4841;;;;;
2484;3424;3559;5277;;;;;
2354;1448;1339;14039;;;;;
1012;2048;1098;2899;;;;;
3287;5197;2789;5274;;;;;
3396;3394;1269;6923;;;;;
1917;1727;2910;1493;;;;;
1615;1066;2332;287;;;;;
2098;1316;1228;1542;;;;;
5794;2458;638;741;;;;;
3406;427;2959;4324;;;;;
1014;4098;1861;3117;;;;;
1196;3119;11868;6890;;;;;
1142;2016;2093;1248;;;;;
2081;1037;1018;12754;;;;;
2168;956;1273;9391;;;;;
5302;873;3382;7762;;;;;
2045;4898;3704;25852;;;;;
1359;3798;5369;1982;;;;;
983;2808;676;2129;;;;;
21481;2096;1897;24039;;;;;
1370;5796;2498;2488;;;;;
2590;2398;929;3048;;;;;
3137;6668;295;15316;;;;;
314;348;1178;6270;;;;;
3225;1367;2115;4649;;;;;
711;1718;1179;20315;;;;;
2829;1822;2800;3013;;;;;
7462;9997;1391;2899;;;;;
1549;4430;739;3036;;;;;
1317;974;662;1130;;;;;
2347;898;1467;1634;;;;;
1014;2514;848;699;;;;;
3104;4698;1559;2801;;;;;
1599;2419;2088;2273;;;;;
708;7549;1319;1510;;;;;
1490;1405;2910;2753;;;;;
2003;1634;1399;3208;;;;;
1350;2748;2169;9915;;;;;
1441;697;764;729;;;;;
4119;2072;2810;8320;;;;;
1519;4346;3497;536;;;;;
1148;7585;2002;1680;;;;;
1504;1969;511;8798;;;;;
4381;1498;2028;20156;;;;;
1674;1794;766;1292;;;;;
1898;778;2768;7639;;;;;
2640;8191;3608;4794;;;;;
1798;2098;7119;1449;;;;;
855;5186;1690;2804;;;;;
1080;5648;1548;6848;;;;;
3229;1351;1908;1989;;;;;
1549;3448;1690;1709;;;;;
1393;2398;929;565;;;;;
4090;847;2239;6034;;;;;
1509;1228;2977;1799;;;;;
3224;1213;2485;12270;;;;;
1598;4898;1008;6820;;;;;
2398;656;629;12526;;;;;
1617;1748;1484;3024;;;;;
1014;5696;1356;2509;;;;;
1451;3934;1798;5602;;;;;
1192;1217;1168;3089;;;;;
4289;2120;6546;1039;;;;;
1598;1464;2598;2047;;;;;
4461;1126;519;4864;;;;;
3202;548;4949;712;;;;;
3569;1145;528;2661;;;;;
1841;3942;944;6879;;;;;
1136;638;797;5739;;;;;
2877;1177;1655;5557;;;;;
650;6774;2942;4138;;;;;
4711;1498;2068;3839;;;;;
1148;4096;1224;5447;;;;;
748;1057;3900;19599;;;;;
1798;1418;1738;9039;;;;;
427;1178;2229;18648;;;;;
1276;228;2699;12275;;;;;
3048;3483;5592;2371;;;;;
1926;744;2769;1674;;;;;
1597;1398;2718;23399;;;;;
3463;2498;1508;1334;;;;;
5614;1781;808;4180;;;;;
1148;348;1498;3599;;;;;
8759;2698;1460;8250;;;;;
2906;7646;648;8489;;;;;
2330;3933;2137;4940;;;;;
2148;1067;1848;22545;;;;;
5531;3397;719;1349;;;;;
7082;1547;7699;6396;;;;;
3574;1548;895;7539;;;;;
3704;3249;2489;24548;;;;;
5500;3544;5029;23509;;;;;
848;948;3265;14830;;;;;
3025;1198;10567;20039;;;;;
502;3118;1687;1849;;;;;
1035;3972;2018;5130;;;;;
2587;1896;4098;23085;;;;;
1417;4197;1999;1097;;;;;
3960;1558;3152;17089;;;;;
2595;3498;3308;1279;;;;;
