Кластер 1;Кластер 2;Кластер 3;Кластер 4;;;;;
3495;8350;2649;1479;;;;;
2994;2915;1534;2369;;;;;
1521;6386;1254;17136;;;;;
2277;1342;3028;5447;;;;;
2448;888;2277;4399;;;;;
1412;1366;1279;3234;;;;;
3186;1219;1212;22319;;;;;
4127;898;1278;17732;;;;;
7675;5598;4026;13001;;;;;
1284;898;889;29249;;;;;
858;2301;1087;1087;;;;;
779;1363;297;5874;;;;;
1349;8298;1996;36598;;;;;
2455;2831;1011;4374;;;;;
2431;1653;5552;21645;;;;;
2138;5198;1008;3630;;;;;
5054;468;2831;3179;;;;;
1851;3146;1645;1969;;;;;
898;898;1089;10216;;;;;
1323;4653;2848;5201;;;;;
2003;2098;699;4828;;;;;
1884;10350;3886;4749;;;;;
1148;3923;3108;36648;;;;;
1352;3293;1719;17119;;;;;
2004;4147;1968;8512;;;;;
7632;4141;659;2939;;;;;
1875;3534;1779;10596;;;;;
2487;897;739;5134;;;;;
1406;2498;3129;9499;;;;;
2197;9272;1678;14298;;;;;
2618;2098;3218;7106;;;;;
1258;2368;2304;1467;;;;;
3699;4298;4328;7594;;;;;
1030;2532;1698;7789;;;;;
633;1264;1898;1880;;;;;
729;3799;1088;12199;;;;;
1089;898;1772;28499;;;;;
3246;758;842;1160;;;;;
2003;4148;1087;10780;;;;;
1046;1641;2625;2850;;;;;
344;3596;2398;25650;;;;;
3763;827;1658;1948;;;;;
3246;1176;3098;3994;;;;;
1582;3301;1736;1574;;;;;
3192;4634;1548;19748;;;;;
1858;1596;1895;4339;;;;;
10457;2098;13098;4589;;;;;
3692;1657;1855;2689;;;;;
996;2074;457;1979;;;;;
2010;835;1186;7570;;;;;
3090;6797;3053;12084;;;;;
1550;5641;3669;4679;;;;;
2799;1826;3769;5999;;;;;
1604;904;1822;4778;;;;;
1098;3247;591;3911;;;;;
1123;755;1069;2199;;;;;
1251;1906;1107;24679;;;;;
1560;248;2126;4778;;;;;
1647;2386;4663;1679;;;;;
2099;3796;4297;1264;;;;;
1337;3048;1783;10040;;;;;
3349;2273;2101;1546;;;;;
3066;2272;1215;4040;;;;;
1217;383;1973;5448;;;;;
2151;3423;278;1465;;;;;
4055;635;3128;4939;;;;;
2733;1564;529;6809;;;;;
1797;1709;3184;7239;;;;;
2097;3247;798;3374;;;;;
2510;448;231;2954;;;;;
1822;2788;3970;4839;;;;;
787;2543;1220;2050;;;;;
3299;6479;2334;11282;;;;;
1061;1972;1179;9975;;;;;
1088;198;808;2767;;;;;
3126;548;698;16668;;;;;
1412;1602;5898;2288;;;;;
1460;1052;1129;848;;;;;
1488;1246;5811;3139;;;;;
479;3559;1266;15900;;;;;
2199;973;922;5799;;;;;
5195;1807;8231;6699;;;;;
849;398;868;8343;;;;;
2236;558;2076;6322;;;;;
2044;6798;3608;1854;;;;;
2312;1686;1274;21899;;;;;
1549;5898;719;1438;;;;;
815;1198;2072;3564;;;;;
4893;2098;1159;12350;;;;;
1066;3997;3729;6189;;;;;
2995;1637;3402;2229;;;;;
1595;2498;1198;7343;;;;;
2751;3577;1167;7549;;;;;
913;5796;1846;2799;;;;;
7554;1346;1327;3717;;;;;
2379;1298;1550;1094;;;;;
1132;3298;1498;1379;;;;;
3049;6698;1558;11428;;;;;
2289;3298;2249;7949;;;;;
1598;2353;3349;2848;;;;;
995;1698;4199;9649;;;;;
2409;3598;1758;14039;;;;;
3118;3144;914;6679;;;;;
1798;926;1749;3412;;;;;
6353;3775;1778;40114;;;;;
1429;3992;2598;7539;;;;;
6105;2902;1918;2090;;;;;
2394;6335;399;2314;;;;;
1753;1602;518;7106;;;;;
2049;3948;1689;13400;;;;;
5078;648;1529;1854;;;;;
2297;10987;1485;13400;;;;;
901;848;2308;3374;;;;;
2197;708;445;9500;;;;;
2431;7809;1759;4499;;;;;
4337;809;2499;10829;;;;;
1089;2748;1838;2709;;;;;
1735;1852;1530;31439;;;;;
3000;3408;1318;2149;;;;;
1014;3164;3150;5899;;;;;
1235;347;2298;1229;;;;;
2242;726;1631;1299;;;;;
6393;1807;3768;3089;;;;;
2197;548;1815;1284;;;;;
2197;4657;4786;8449;;;;;
2837;4646;978;1332;;;;;
902;2262;1600;7693;;;;;
1559;1255;2518;201;;;;;
2999;3248;2799;1795;;;;;
3322;1548;619;1149;;;;;
1938;807;2138;2232;;;;;
8867;2011;2798;7849;;;;;
2817;1395;778;2520;;;;;
3048;6048;8153;1099;;;;;
956;15405;416;11579;;;;;
1543;1535;1195;1089;;;;;
1199;1556;3239;4970;;;;;
443;748;2680;15849;;;;;
1549;7998;619;6848;;;;;
881;2076;938;3181;;;;;
2374;2178;590;498;;;;;
2676;458;423;1378;;;;;
1088;3938;1464;32339;;;;;
2472;648;1028;1809;;;;;
3669;2848;988;859;;;;;
3223;1547;525;18099;;;;;
3097;3220;744;205;;;;;
2893;567;989;1849;;;;;
6918;2147;2598;7020;;;;;
1174;2690;938;1018;;;;;
1088;1544;331;1536;;;;;
2826;3668;3317;6898;;;;;
1526;1448;2976;1590;;;;;
2170;967;251;12969;;;;;
1001;1512;1008;1404;;;;;
1914;796;927;4004;;;;;
1606;5442;420;11107;;;;;
3524;1806;1618;1705;;;;;
2904;1048;2697;5860;;;;;
3636;2216;2978;536;;;;;
449;1248;4899;17248;;;;;
2549;12245;1486;8941;;;;;
1048;947;698;1198;;;;;
2417;2054;1891;12869;;;;;
3762;2424;1118;8879;;;;;
3897;1247;5029;3799;;;;;
3196;7942;1988;3774;;;;;
2753;1888;329;517;;;;;
2426;1218;1406;15989;;;;;
1415;1798;768;8990;;;;;
1783;2048;1488;11068;;;;;
1124;2831;2549;1269;;;;;
2607;1426;724;5879;;;;;
2380;2070;2427;27299;;;;;
2611;384;800;49260;;;;;
1227;1296;1175;10185;;;;;
2027;1158;1538;9475;;;;;
2072;4098;2136;536;;;;;
1782;1995;6789;589;;;;;
2298;5548;735;8350;;;;;
3255;2246;2059;1239;;;;;
1298;2946;937;1992;;;;;
2702;428;943;11494;;;;;
2799;2527;1008;1899;;;;;
809;4648;2116;16356;;;;;
3565;1017;320;20277;;;;;
3730;6895;5944;15597;;;;;
2024;1048;558;33900;;;;;
2009;1847;2236;22044;;;;;
2189;1533;2113;18613;;;;;
1121;1070;1096;29070;;;;;
940;1678;4071;6270;;;;;
3597;3124;4293;3275;;;;;
2844;21365;957;7698;;;;;
3000;1697;1330;20238;;;;;
2225;748;675;16132;;;;;
1589;1258;3138;37089;;;;;
841;1116;3468;2094;;;;;
2127;868;1729;6398;;;;;
269;2390;2422;5980;;;;;
2197;996;1864;6419;;;;;
1967;1957;1608;23750;;;;;
1571;920;1329;22800;;;;;
1340;758;2472;1469;;;;;
7701;2186;809;11590;;;;;
2077;2567;2058;22800;;;;;
3649;2288;398;5560;;;;;
6127;8734;1899;2948;;;;;
11098;2225;669;3550;;;;;
1098;3448;898;3272;;;;;
661;1044;1098;10147;;;;;
919;3557;629;35500;;;;;
1729;4565;1459;624;;;;;
4978;748;1440;9833;;;;;
3137;1979;3537;1904;;;;;
1694;5500;11746;6929;;;;;
2049;3394;2549;5552;;;;;
1540;618;2097;1089;;;;;
1380;538;689;2474;;;;;
3563;3465;4899;4589;;;;;
3968;639;859;6888;;;;;
2027;7559;3478;7618;;;;;
471;788;1179;2339;;;;;
2148;548;923;13199;;;;;
2310;3048;1857;5552;;;;;
2396;2054;1399;8133;;;;;
7096;1274;2129;22899;;;;;
6388;1248;2801;400;;;;;
760;357;528;9779;;;;;
1895;948;659;5789;;;;;
2571;608;4462;1656;;;;;
2144;948;497;1008;;;;;
2837;507;1546;2836;;;;;
2505;1376;1496;1039;;;;;
2156;4008;629;7304;;;;;
1599;928;2244;21219;;;;;
2677;4447;1722;6650;;;;;
2015;816;2089;3839;;;;;
2434;2743;1077;8048;;;;;
2039;714;1172;3208;;;;;
1639;1495;3428;4679;;;;;
4994;2756;5018;11962;;;;;
872;548;668;1048;;;;;
8468;647;1200;4059;;;;;
1069;2247;1582;10250;;;;;
4582;498;423;654;;;;;
2097;948;2248;6270;;;;;
1970;1464;1549;23598;;;;;
1012;7347;3851;2848;;;;;
1549;3253;2188;33239;;;;;
8989;1711;944;6239;;;;;
4909;1942;4628;2306;;;;;
